LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,Country
AUS,SMOKERS,TOT,PC_POP15,A,1986,30.6,,Australia
AUS,SMOKERS,TOT,PC_POP15,A,1989,28.6,,Australia
AUS,SMOKERS,TOT,PC_POP15,A,1992,26.0,,Australia
AUS,SMOKERS,TOT,PC_POP15,A,1995,24.1,,Australia
AUS,SMOKERS,TOT,PC_POP15,A,1998,22.1,,Australia
AUS,SMOKERS,TOT,PC_POP15,A,2001,19.6,,Australia
AUS,SMOKERS,TOT,PC_POP15,A,2004,17.8,,Australia
AUS,SMOKERS,TOT,PC_POP15,A,2007,16.9,,Australia
AUS,SMOKERS,TOT,PC_POP15,A,2010,15.4,,Australia
AUS,SMOKERS,TOT,PC_POP15,A,2013,13.0,,Australia
AUT,SMOKERS,TOT,PC_POP15,A,1986,25.5,,Austria
AUT,SMOKERS,TOT,PC_POP15,A,1997,24.3,,Austria
AUT,SMOKERS,TOT,PC_POP15,A,2006,23.2,,Austria
AUT,SMOKERS,TOT,PC_POP15,A,2014,24.3,,Austria
BEL,SMOKERS,TOT,PC_POP15,A,1997,25.5,,Belgium
BEL,SMOKERS,TOT,PC_POP15,A,2001,24.1,,Belgium
BEL,SMOKERS,TOT,PC_POP15,A,2004,23.7,,Belgium
BEL,SMOKERS,TOT,PC_POP15,A,2008,20.5,,Belgium
BEL,SMOKERS,TOT,PC_POP15,A,2013,18.9,,Belgium
CAN,SMOKERS,TOT,PC_POP15,A,1985,30.4,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,1986,28.3,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,1988,30.8,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,1989,31.0,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,1990,28.2,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,1991,25.9,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,1994,25.5,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,1996,24.5,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,1998,23.8,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,2001,22.4,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,2003,18.7,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,2005,17.3,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,2007,18.2,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,2008,17.5,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,2009,16.2,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,2010,16.3,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,2011,15.7,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,2012,16.1,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,2013,14.9,,Canada
CAN,SMOKERS,TOT,PC_POP15,A,2014,14.0,,Canada
CZE,SMOKERS,TOT,PC_POP15,A,1993,26.1,,Czech Republic
CZE,SMOKERS,TOT,PC_POP15,A,1996,26.2,,Czech Republic
