country,year,suicides_no,population,suicide_rate
Albania,1987,73.0,2709600.0,2.6941245940360203
Albania,1988,63.0,2764300.0,2.279057989364396
Albania,1989,68.0,2803100.0,2.4258856266276623
Albania,1992,47.0,2822500.0,1.6651904340124002
Albania,1993,73.0,2807300.0,2.60036333843907
Albania,1994,50.0,2849300.0,1.7548169725897587
Albania,1995,88.0,2903400.0,3.03092925535579
Albania,1996,89.0,2940200.0,3.0270049656485956
Albania,1997,170.0,2977300.0,5.709871359957008
Albania,1998,154.0,3012700.0,5.111693829455306
Albania,1999,139.0,3029700.0,4.587912994685943
Albania,2000,54.0,2796300.0,1.931123270035404
Albania,2001,119.0,2799349.0,4.250988354792489
Albania,2002,133.0,2818839.0,4.718254572183796
Albania,2003,124.0,2843929.0,4.360165109607167
Albania,2004,146.0,2874991.0,5.078276766779444
Albania,2007,124.0,2770344.0,4.47597843444713
Albania,2008,160.0,2757059.0,5.803285312356391
Albania,2010,96.0,2736025.0,3.5087398689704954
Antigua and Barbuda,1990,1.0,59334.0,1.6853743216368355
Antigua and Barbuda,1993,1.0,63315.0,1.5794045644791912
Antigua and Barbuda,2000,2.0,75326.0,2.6551257202028515
Antigua and Barbuda,2001,2.0,76497.0,2.614481613658052
Antigua and Barbuda,2003,1.0,78658.0,1.2713265020722622
Antigua and Barbuda,2004,2.0,79722.0,2.508717794335315
Antigua and Barbuda,2007,1.0,83131.0,1.2029206914388135
Antigua and Barbuda,2015,1.0,91889.0,1.0882695426003113
Argentina,1979,1802.0,24986000.0,7.212038741695349
Argentina,1980,1972.0,24706600.0,7.981672913310613
Argentina,1981,2197.0,24995800.0,8.789476632074189
Argentina,1982,1965.0,26233000.0,7.490565318491975
Argentina,1983,1834.0,26657000.0,6.879993997824211
Argentina,1984,1873.0,26673900.0,7.021845324455741
Argentina,1985,1988.0,27090800.0,7.338284583696311
Argentina,1986,2284.0,27244400.0,8.383374198000324
Argentina,1987,2286.0,27599400.0,8.28278875627731
Argentina,1988,2354.0,28308000.0,8.315670481842588
Argentina,1989,2247.0,28702000.0,7.828722737091492
Argentina,1990,2140.0,29091100.0,7.356201724926181
Argentina,1991,1951.0,29623000.0,6.586098639570603
Argentina,1992,2184.0,30045400.0,7.268999580634639
Argentina,1993,2230.0,30477500.0,7.3168731031088505
Argentina,1994,2241.0,30911200.0,7.249799425450969
Argentina,1995,2204.0,31345400.0,7.031334741301754
Argentina,1996,2229.0,31780700.0,7.013690699072079
Argentina,1997,2184.0,32333781.0,6.754545656135916
Argentina,1998,2347.0,32757259.0,7.164824138674118
Argentina,1999,2423.0,33174862.0,7.303722921289018
Argentina,2000,2774.0,33585533.0,8.259508640223158
Argentina,2001,3132.0,34010946.0,9.208800013971972
Argentina,2002,3162.0,34407507.0,9.18985499298162
Argentina,2003,3289.0,34785907.0,9.454978419852615
Argentina,2004,3121.0,35162945.0,8.87582083923858
Argentina,2005,3058.0,35550617.0,8.601819765884795
Argentina,2006,3108.0,35918886.0,8.652829600561667
Argentina,2007,2946.0,36315492.0,8.112240362873234
Argentina,2008,3059.0,36733520.0,8.327543889069165
Argentina,2009,2884.0,37158001.0,7.761450891828115
Argentina,2010,2943.0,37578454.0,7.831615425158256
Argentina,2011,2912.0,38015739.0,7.659985249793514
Argentina,2012,3248.0,38441778.0,8.449140932034933
Argentina,2013,2987.0,38859125.0,7.6867402444084885
Argentina,2014,3231.0,39276555.0,8.22628155651635
Argentina,2015,3073.0,39699624.0,7.740627467907504
Armenia,1981,92.0,2768700.0,3.3228591035504027
Armenia,1982,70.0,2793600.0,2.5057273768613975
Armenia,1985,74.0,2866100.0,2.5819057255503997
Armenia,1986,61.0,2893400.0,2.1082463537706504
Armenia,1987,81.0,2922700.0,2.7714099976049544
Armenia,1988,61.0,2932000.0,2.0804911323328783
Armenia,1989,78.0,2935600.0,2.657037743561793
Armenia,1990,93.0,2983700.0,3.1169353487280893
Armenia,1991,80.0,3230800.0,2.4761668936486316
Armenia,1992,83.0,3308700.0,2.508538096533382
Armenia,1993,106.0,3366600.0,3.1485771995485057
Armenia,1994,112.0,3402500.0,3.2916972814107273
Armenia,1995,130.0,3443200.0,3.7755576208178443
Armenia,1996,87.0,3486300.0,2.4954823164959983
Armenia,1997,77.0,3526700.0,2.1833442027958148
Armenia,1998,66.0,3558000.0,1.854974704890388
Armenia,1999,67.0,3580700.0,1.8711425140335687
Armenia,2000,61.0,3606500.0,1.6913905448495772
Armenia,2001,60.0,3610516.0,1.6618123282101507
Armenia,2002,74.0,3014844.0,2.4545216933280796
Armenia,2003,59.0,3024366.0,1.9508220896544928
Armenia,2006,78.0,2764396.0,2.8215928542799222
Armenia,2007,71.0,2735313.0,2.595681006159076
Armenia,2008,63.0,3045391.0,2.0686998812303576
Armenia,2009,53.0,2689695.0,1.9704836421973495
Armenia,2010,73.0,2676225.0,2.7277228185223588
Armenia,2011,67.0,2670366.0,2.5090193628888326
Armenia,2012,79.0,2814300.0,2.8070923497850266
Armenia,2013,67.0,2810664.0,2.383778352730885
Armenia,2014,58.0,2803029.0,2.069190151082989
Armenia,2015,74.0,2795335.0,2.647267679902409
Armenia,2016,67.0,2784119.0,2.406506331087141
Aruba,1995,8.0,73581.0,10.872371943844199
Aruba,1999,9.0,81934.0,10.984450899504479
Aruba,2000,10.0,83888.0,11.920656112912456
Aruba,2001,4.0,86045.0,4.64873031553257
Aruba,2002,9.0,88284.0,10.194372706266142
Aruba,2003,2.0,90457.0,2.2109952795250782
Aruba,2004,8.0,92335.0,8.664103536037256
Aruba,2005,10.0,93728.0,10.669170365312395
Aruba,2006,9.0,94508.0,9.523003343632285
Aruba,2007,8.0,94814.0,8.437572510388762
Aruba,2008,4.0,94814.0,4.218786255194381
Aruba,2009,4.0,94795.0,4.219631837122211
Aruba,2010,7.0,95006.0,7.367955708060544
Aruba,2011,9.0,95488.0,9.425268096514746
Aruba,2012,3.0,96215.0,3.1180169412253806
Aruba,2013,2.0,97110.0,2.0595201318092884
Aruba,2014,5.0,97988.0,5.102665632526432
Aruba,2015,9.0,98712.0,9.11743253099927
Australia,1979,1675.0,13279400.0,12.613521695257315
Australia,1980,1606.0,13485100.0,11.909440790205487
Australia,1981,1671.0,13788400.0,12.118882538945781
Australia,1982,1766.0,14023600.0,12.593057417496219
Australia,1983,1697.0,14209600.0,11.9426303344218
Australia,1984,1753.0,14374800.0,12.194952277596906
Australia,1985,1861.0,14562500.0,12.7793991416309
Australia,1986,2044.0,14809800.0,13.801671865926616
Australia,1987,2164.0,15046500.0,14.382082211810056
Australia,1988,2172.0,15312100.0,14.18486033920886
Australia,1989,2066.0,15570600.0,13.268595943637367
Australia,1990,2202.0,15807000.0,13.930537103814766
Australia,1991,2288.0,16012100.0,14.289193797190874
Australia,1992,2251.0,16203500.0,13.892060357330207
Australia,1993,2038.0,16370000.0,12.449602932193036
Australia,1994,2283.0,16549400.0,13.795062056630453
Australia,1995,2170.0,16766300.0,12.942628964052894
Australia,1996,2426.0,17015100.0,14.257923844114933
Australia,1997,2646.0,17221300.0,15.364693722309001
Australia,1998,2632.0,17421730.0,15.107569684526164
Australia,1999,2488.0,17641702.0,14.10294766343973
Australia,2000,2391.0,17874410.0,13.37666529972178
Australia,2001,2458.0,18130883.0,13.556978995452125
Australia,2002,2319.0,18370058.0,12.62380336523706
Australia,2003,2156.0,18608029.0,11.586396388354727
Australia,2004,2114.0,18854551.0,11.212147136253735
Australia,2006,2117.0,19109246.0,11.078406756603583
Australia,2007,2229.0,19734430.0,11.294980397204277
Australia,2008,2341.0,20120312.0,11.635008443209031
Australia,2009,2337.0,20529317.0,11.383720169550696
Australia,2010,2420.0,20847547.0,11.608080317554867
Australia,2011,2392.0,20881910.0,11.45489086007937
Australia,2012,2580.0,21238909.0,12.147516616790439
Australia,2013,2608.0,21600180.0,12.073973457628593
Australia,2014,2891.0,21927587.0,13.184305231578831
Australia,2015,3027.0,22240785.0,13.610131117224505
Austria,1980,1932.0,7071800.0,27.31977714301875
Austria,1981,2032.0,7133800.0,28.484117861448315
Austria,1982,2070.0,7131523.0,29.02605796826288
Austria,1983,2041.0,7112766.0,28.694884662309995
Austria,1984,2028.0,7107249.0,28.534247217172215
Austria,1985,2091.0,7110115.0,29.408807030547326
Austria,1986,2139.0,7119149.0,30.04572597089905
Austria,1987,2069.0,7130006.0,29.01820839982463
Austria,1988,1851.0,7144410.0,25.908367520900953
Austria,1989,1898.0,7177666.0,26.443136250697652
Austria,1990,1825.0,7231353.0,25.237324190922497
Austria,1991,1769.0,7299728.0,24.23377966959865
Austria,1992,1759.0,7375368.0,23.849657400145997
Austria,1993,1704.0,7433569.0,22.92304006325898
Austria,1994,1776.0,7462552.0,23.79882914048706
Austria,1995,1788.0,7477030.0,23.91323827776537
Austria,1996,1779.0,7493706.0,23.739922542998084
Austria,1997,1592.0,7512589.0,21.19109670447831
Austria,1998,1559.0,7533519.0,20.694180236354352
Austria,1999,1555.0,7561609.0,20.56440633203859
Austria,2000,1588.0,7592073.0,20.91655335769295
Austria,2001,1489.0,7634560.0,19.503416044932518
Austria,2002,1553.0,7683162.0,20.213032082364006
Austria,2003,1456.0,7722033.0,18.85513827770485
Austria,2004,1422.0,7773105.0,18.293847825289895
Austria,2005,1399.0,7827461.0,17.872973113503857
Austria,2006,1297.0,7869269.0,16.481835860484626
Austria,2007,1285.0,7897272.0,16.271441581346064
Austria,2008,1267.0,7925258.0,15.986861247924042
Austria,2009,1278.0,7946894.0,16.081754708191653
Austria,2010,1264.0,7968421.0,15.862615692619654
Austria,2011,1288.0,7995146.0,16.109774605742036
Austria,2012,1276.0,8031276.0,15.88788630847701
Austria,2013,1291.0,8079615.0,15.978484123315283
Austria,2014,1314.0,8141165.0,16.14019615128793
Austria,2015,1251.0,8219386.0,15.220114981824675
Austria,2016,1204.0,8319211.0,14.472526300871563
Azerbaijan,1981,287.0,5532400.0,5.18762200853156
Azerbaijan,1982,239.0,5614500.0,4.2568349808531485
Azerbaijan,1985,244.0,5852100.0,4.169443447651271
Azerbaijan,1986,235.0,5928300.0,3.9640369077138473
Azerbaijan,1987,254.0,6013900.0,4.223548778662765
Azerbaijan,1988,232.0,6106300.0,3.799354764751159
Azerbaijan,1989,219.0,6111200.0,3.5835842387747086
Azerbaijan,1990,114.0,6156800.0,1.8516112266112266
Azerbaijan,1991,134.0,6290600.0,2.130162464629765
Azerbaijan,1992,144.0,6370400.0,2.2604546025367327
Azerbaijan,1993,119.0,6442600.0,1.8470803712786765
Azerbaijan,1994,47.0,6521200.0,0.7207262467030607
Azerbaijan,1995,49.0,6605900.0,0.7417611529087633
Azerbaijan,1996,69.0,6668100.0,1.0347775228325908
Azerbaijan,1997,107.0,6711200.0,1.5943497437120038
Azerbaijan,1998,56.0,7044400.0,0.7949576968939868
Azerbaijan,1999,54.0,7106400.0,0.7598784194528876
Azerbaijan,2000,62.0,7415250.0,0.8361147634941505
Azerbaijan,2001,317.0,7518000.0,4.216546953977121
Azerbaijan,2002,92.0,7605700.0,1.2096191014633761
Azerbaijan,2003,129.0,7674400.0,1.680913165850099
Azerbaijan,2004,108.0,7738250.0,1.3956643944044196
Azerbaijan,2007,55.0,7921100.0,0.6943480072212193
Bahamas,1980,1.0,180400.0,0.5543237250554324
Bahamas,1981,1.0,181100.0,0.5521811154058531
Bahamas,1983,5.0,189500.0,2.638522427440633
Bahamas,1984,7.0,200300.0,3.4947578632051925
Bahamas,1985,1.0,203700.0,0.49091801669121254
Bahamas,1987,3.0,220900.0,1.358080579447714
Bahamas,1993,7.0,243500.0,2.8747433264887063
Bahamas,1994,3.0,249300.0,1.203369434416366
Bahamas,1995,2.0,254500.0,0.7858546168958743
Bahamas,1996,3.0,252438.0,1.188410619637297
Bahamas,1997,2.0,255956.0,0.7813843004266359
Bahamas,1998,3.0,260125.0,1.1532916866890919
Bahamas,1999,6.0,264791.0,2.2659380417008133
Bahamas,2000,11.0,269738.0,4.078031274792576
Bahamas,2001,1.0,276140.0,0.36213514883754616
Bahamas,2002,3.0,282555.0,1.0617401921749747
Bahamas,2003,1.0,288888.0,0.34615491124588077
Bahamas,2004,2.0,295237.0,0.6774218678553162
Bahamas,2005,4.0,301763.0,1.325543555704311
Bahamas,2006,2.0,308499.0,0.6483003186396066
Bahamas,2007,5.0,314989.0,1.58735701881653
Bahamas,2008,4.0,321447.0,1.244373100386689
Bahamas,2009,6.0,327813.0,1.830311793614042
Bahamas,2010,10.0,333869.0,2.9951867349169885
Bahamas,2011,4.0,338383.0,1.1820924810052515
Bahamas,2012,5.0,343558.0,1.4553583383300637
Bahamas,2013,5.0,348959.0,1.4328330835427658
Bahrain,1985,11.0,365900.0,3.006285870456409
Bahrain,1987,9.0,363900.0,2.47320692497939
Bahrain,1988,14.0,389700.0,3.59250705671029
Bahrain,1999,17.0,565762.0,3.0047970701461035
Bahrain,2000,29.0,590594.0,4.910310636410123
Bahrain,2001,23.0,624083.0,3.6854072294871036
Bahrain,2002,25.0,661010.0,3.782091042495575
Bahrain,2003,34.0,702913.0,4.837013969011812
Bahrain,2004,42.0,751559.0,5.588383613262565
Bahrain,2005,42.0,819540.0,5.1248261219708615
Bahrain,2006,28.0,888543.0,3.151226220903209
Bahrain,2007,40.0,964770.0,4.146065901717508
Bahrain,2008,43.0,1024110.0,4.198767710499848
Bahrain,2009,36.0,1092922.0,3.29392216461925
Bahrain,2010,19.0,1139160.0,1.6678956424031741
Bahrain,2011,18.0,1103462.0,1.6312297115804621
Bahrain,2012,19.0,1201778.0,1.580990831917376
Bahrain,2013,5.0,1214492.0,0.41169476620677614
Bahrain,2014,9.0,1213966.0,0.7413716693877752
Barbados,1979,2.0,229300.0,0.8722197993894462
Barbados,1980,3.0,228700.0,1.3117621337997376
Barbados,1981,7.0,229500.0,3.0501089324618738
Barbados,1982,2.0,228500.0,0.8752735229759301
Barbados,1983,9.0,230200.0,3.909643788010426
Barbados,1984,5.0,230900.0,2.1654395842355996
Barbados,1985,7.0,231000.0,3.0303030303030303
Barbados,1986,8.0,231600.0,3.4542314335060453
Barbados,1987,6.0,233700.0,2.5673940949935816
Barbados,1988,12.0,234800.0,5.110732538330494
Barbados,1989,16.0,236000.0,6.779661016949152
Barbados,1990,16.0,237000.0,6.751054852320675
Barbados,1991,17.0,237000.0,7.172995780590717
Barbados,1992,14.0,240000.0,5.833333333333333
Barbados,1993,16.0,239600.0,6.677796327212021
Barbados,1994,14.0,240300.0,5.826050769870994
Barbados,1995,17.0,241200.0,7.048092868988391
Barbados,2000,10.0,251133.0,3.981953785444366
Barbados,2001,2.0,252406.0,0.7923741907878576
Barbados,2004,3.0,254925.0,1.1768167107972933
Barbados,2005,1.0,255889.0,0.39079444602933305
Barbados,2006,9.0,256883.0,3.5035405223389637
Barbados,2008,1.0,259414.0,0.385484206712051
Barbados,2009,5.0,260718.0,1.9177808973680375
Barbados,2010,3.0,261927.0,1.1453572942079282
Belarus,1981,2388.0,8944900.0,26.696776934342473
Belarus,1982,2616.0,9001100.0,29.06311450822677
Belarus,1985,2302.0,9147900.0,25.16424534592639
Belarus,1986,1777.0,9193100.0,19.32971467731233
Belarus,1987,1921.0,9238100.0,20.79431917818599
Belarus,1988,1869.0,9296500.0,20.104340343139892
Belarus,1989,2209.0,9364700.0,23.588582656144883
Belarus,1990,2085.0,9408800.0,22.16010543321146
Belarus,1991,2169.0,9476200.0,22.888921719676663
Belarus,1992,2424.0,9570900.0,25.326771776948874
Belarus,1993,2885.0,9641100.0,29.92397133107218
Belarus,1994,3153.0,9653900.0,32.66037559949864
Belarus,1995,3203.0,9673600.0,33.11073436983129
Belarus,1996,3627.0,9684800.0,37.4504377994383
Belarus,1997,3526.0,9692100.0,36.380144653893375
Belarus,1998,3556.0,9694800.0,36.67945702851013
Belarus,1999,3397.0,9563200.0,35.52158273381295
Belarus,2000,3483.0,9543479.0,36.49612473606323
Belarus,2001,3303.0,9513587.0,34.71876590816902
Belarus,2002,3291.0,9469234.0,34.75465914138356
Belarus,2003,3456.0,9420691.0,36.68520706177498
