country,cor,p
Albania,0.00318327,0.987427405
Australia,0.659829656,0.000180827
Austria,-0.586062063,0.001316868
Belgium,0.313306416,0.111538198
Bulgaria,0.732159945,1.42E-05
Bahamas,0.062966796,0.755030768
Brazil,0.475631908,0.012157995
Barbados,0.830668418,8.20E-08
Brunei Darussalam,-0.604884775,0.000830714
Canada,0.78110124,1.52E-06
Switzerland,-0.751047379,6.37E-06
Chile,0.589667218,0.001208253
Colombia,0.543357003,0.003400133
Costa Rica,0.151791013,0.4497671
Cuba,0.95081662,3.12E-14
Czech Republic,-0.277374841,0.161290452
Denmark,0.393981863,0.042011774
Ecuador,-0.444497912,0.020181744
Eritrea,0.522597209,0.005164845
Finland,0.312302424,0.112751653
France,0.482314302,0.010839551
Georgia,-0.333868514,0.088760438
Greece,0.774024359,2.17E-06
Guyana,-0.314883055,0.109652178
"Hong Kong SAR, China",0.120789359,0.548409665
Hungary,0.361759964,0.063713768
Iceland,-0.195336823,0.328856128
Israel,0.649817832,0.000244109
Italy,0.143461522,0.475301299
Jamaica,-0.291406386,0.140274912
Japan,0.799693107,5.60E-07
Kazakhstan,0.832658741,7.16E-08
Kyrgyzstan,-0.430391001,0.025030229
Kuwait,-0.185102023,0.355315135
Lithuania,0.398377035,0.039574878
Luxembourg,-0.769482281,2.72E-06
Latvia,0.653519278,0.000218751
Maldives,-0.789711832,9.70E-07
Mexico,0.927473705,3.53E-12
Malta,-0.498679832,0.008105402
Mozambique,-0.241285945,0.22534179
Mauritius,0.428109132,0.025896674
Netherlands,0.684704184,8.16E-05
Norway,0.578639008,0.001567369
New Zealand,0.440003902,0.021634731
Panama,0.188962388,0.345191016
Philippines,-0.663173855,0.000163181
Poland,0.495094126,0.008648667
Puerto Rico,0.565838543,0.002096432
"Korea, Dem. People’s Rep.",-0.730966651,1.49E-05
Portugal,0.318449564,0.105473221
Paraguay,-0.319531286,0.104229493
Romania,0.15347719,0.44468856
Russian Federation,0.732502701,1.40E-05
Singapore,0.125898079,0.531493341
Serbia,-0.661185952,0.000173478
Suriname,-0.684909595,8.11E-05
Slovenia,-0.167285488,0.404275238
Sweden,0.045252459,0.822658684
Thailand,0.63926343,0.000331145
Turkmenistan,-0.010812025,0.957314466
Trinidad and Tobago,0.45195969,0.017946159
Ukraine,0.396746246,0.040465578
Uruguay,0.002870923,0.988660965
Uzbekistan,-0.247743436,0.21278907
