,country,year,sex,age,suicides_no,population,suicide_no per 100000
2616,Austria,1980,female,15-24 years,40,600800,6.657789614
2617,Austria,1980,female,25-34 years,56,502600,11.14206128
2618,Austria,1980,female,35-54 years,160,924100,17.31414349
2619,Austria,1980,female,5-14 years,4,540400,0.74019245
2620,Austria,1980,female,55-74 years,227,871300,26.05302422
2621,Austria,1980,female,75+ years,103,304000,33.88157895
2622,Austria,1980,male,15-24 years,180,624400,28.82767457
2623,Austria,1980,male,25-34 years,187,514800,36.32478632
2624,Austria,1980,male,35-54 years,461,905500,50.91109884
2625,Austria,1980,male,5-14 years,22,566200,3.885552808
2626,Austria,1980,male,55-74 years,367,571900,64.17205805
2627,Austria,1980,male,75+ years,125,145800,85.73388203
2628,Austria,1981,female,15-24 years,64,628400,10.1845958
2629,Austria,1981,female,25-34 years,53,518500,10.22179364
2630,Austria,1981,female,35-54 years,178,917800,19.39420353
2631,Austria,1981,female,5-14 years,3,526800,0.569476082
2632,Austria,1981,female,55-74 years,197,872700,22.57362209
2633,Austria,1981,female,75+ years,100,312200,32.03074952
2634,Austria,1981,male,15-24 years,191,642100,29.74614546
2635,Austria,1981,male,25-34 years,186,525800,35.37466717
2636,Austria,1981,male,35-54 years,518,918000,56.42701525
2637,Austria,1981,male,5-14 years,9,550100,1.63606617
2638,Austria,1981,male,55-74 years,384,573900,66.9106116
2639,Austria,1981,male,75+ years,149,147500,101.0169492
2640,Austria,1982,female,15-24 years,42,633442,6.630441303
2641,Austria,1982,female,25-34 years,53,525333,10.08883889
2642,Austria,1982,female,35-54 years,170,919578,18.48674066
2643,Austria,1982,female,5-14 years,4,507314,0.788466315
2644,Austria,1982,female,55-74 years,208,866386,24.00777483
2645,Austria,1982,female,75+ years,94,319512,29.41986529
2646,Austria,1982,male,15-24 years,215,650096,33.07203859
2647,Austria,1982,male,25-34 years,245,530758,46.16039702
2648,Austria,1982,male,35-54 years,536,924345,57.98700702
2649,Austria,1982,male,5-14 years,6,530398,1.131225985
2650,Austria,1982,male,55-74 years,329,574304,57.28673316
2651,Austria,1982,male,75+ years,168,150057,111.9574562
2652,Austria,1983,female,15-24 years,53,635837,8.335469625
2653,Austria,1983,female,25-34 years,48,527586,9.098042784
2654,Austria,1983,female,35-54 years,177,925834,19.11789802
2655,Austria,1983,female,5-14 years,2,486292,0.41127553
2656,Austria,1983,female,55-74 years,220,858519,25.62552489
2657,Austria,1983,female,75+ years,111,325312,34.12108991
2658,Austria,1983,male,15-24 years,183,654263,27.97040334
2659,Austria,1983,male,25-34 years,195,531602,36.68157757
2660,Austria,1983,male,35-54 years,540,931270,57.98533186
2661,Austria,1983,male,5-14 years,7,508035,1.377857825
2662,Austria,1983,male,55-74 years,353,576234,61.25983541
2663,Austria,1983,male,75+ years,152,151982,100.0118435
2664,Austria,1984,female,15-24 years,50,636887,7.850686228
2665,Austria,1984,female,25-34 years,53,534304,9.919446607
2666,Austria,1984,female,35-54 years,161,931951,17.27558638
2667,Austria,1984,female,5-14 years,2,467549,0.427762652
2668,Austria,1984,female,55-74 years,200,850995,23.50190072
2669,Austria,1984,female,75+ years,120,331865,36.15928164
2670,Austria,1984,male,15-24 years,209,656512,31.83490934
2671,Austria,1984,male,25-34 years,202,537885,37.55449585
2672,Austria,1984,male,35-54 years,504,936591,53.81217629
2673,Austria,1984,male,5-14 years,10,488566,2.046806368
2674,Austria,1984,male,55-74 years,342,579994,58.96612724
2675,Austria,1984,male,75+ years,175,154150,113.5257866
2676,Austria,1985,female,15-24 years,50,633592,7.891513782
2677,Austria,1985,female,25-34 years,56,544765,10.27966187
2678,Austria,1985,female,35-54 years,186,936799,19.85484613
2679,Austria,1985,female,5-14 years,2,453859,0.440665493
2680,Austria,1985,female,55-74 years,220,842978,26.09795273
2681,Austria,1985,female,75+ years,110,339223,32.42704652
2682,Austria,1985,male,15-24 years,207,653728,31.6645455
2683,Austria,1985,male,25-34 years,232,548783,42.27536203
