country,cor,p,from,until,supposedDatapoint,realDatapoint,numOfMissingValue,realDataPoint
Albania,0.053008956,0.814763695,1987,2010,24,,2,22
Antigua and Barbuda,0.049905451,0.804753733,1985,2015,31,,4,27
Argentina,0.213589268,0.204323968,1979,2015,37,,0,37
Mexico,0.973095654,6.68E-24,1979,2015,37,,0,37
Aruba,0.164088486,0.489387238,1987,2015,29,,9,20
Paraguay,0.937348208,9.62E-16,1979,2014,36,,3,33
Republic of Korea,0.915818341,5.16E-13,1985,2015,31,,0,31
Philippines,0.914342196,1.85E-06,1992,2011,20,,5,15
Bahamas,-0.085504598,0.671529676,1980,2013,34,,7,27
Bahrain,-0.200836155,0.382698632,1985,2014,30,,9,21
Brazil,0.899766172,3.67E-14,1979,2015,37,,0,37
Belarus,0.011190463,0.954930533,1981,2014,34,,6,28
Cyprus,0.880334799,1.49E-05,1999,2016,18,,3,15
Uruguay,0.864818554,8.62E-11,1980,2015,36,,3,33
Guyana,0.856650967,1.19E-08,1979,2013,35,,8,27
Chile,0.838851698,1.68E-10,1980,2015,36,,0,36
Brunei Darussalam,-0.432853986,0.056610689,1996,2015,20,,0,20
Malta,0.804663157,1.95E-09,1979,2015,37,,0,37
Montenegro,0.7598472,0.010763739,2000,2009,10,,0,10
Cabo Verde,,,2011,2011,1,,0,1
Ireland,0.707170197,1.42E-06,1979,2014,36,,0,36
Belize,0.632718155,0.000102033,1980,2015,36,,4,32
Ecuador,0.616097461,4.92E-05,1979,2015,37,,0,37
Guatemala,0.587427255,0.000259693,1979,2015,37,,3,34
Colombia,0.563632767,0.000781636,1984,2015,32,,0,32
Kuwait,0.554918531,0.001195442,1979,2014,36,,5,31
Panama,0.526681635,0.002335499,1979,2015,37,,6,31
Egypt,0.514931299,0.028760598,1980,2015,36,,18,18
Costa Rica,0.387919752,0.021300662,1980,2014,35,,0,35
Trinidad and Tobago,0.373870776,0.032087153,1979,2011,33,,0,33
Romania,-0.427951484,0.023098221,1989,2016,28,,0,28
Australia,-0.455425729,0.005252823,1979,2015,37,,1,36
Fiji,0.023641493,0.94499353,2001,2012,12,,1,11
Barbados,-0.456426374,0.009854456,1979,2013,35,,4,31
Russian Federation,-0.457185045,0.006561132,1980,2015,36,,2,34
Thailand,-0.500944833,0.002547237,1979,2016,38,,4,34
TFYR Macedonia,-0.545694276,0.007073009,1991,2013,23,,0,23
Slovakia,-0.555385818,0.007289983,1992,2014,23,,1,22
