,country,cor,p,from,until,supposedDatapoint,realDatapoint,numOfMissingValue,realDataPoint,cor_depression,p_depression,cor_drug_disorder,p_drug_disorder,cor_smoke,p_smoke,cor_gdp,p_gdp,cor_gini,p_gini,cor_sex_ratio,p_ratio,cor_population_density,p_population_density,cor_wage,p_wage,cor_unemployment,p_unemployment,cor_elder,p_elder
0,Albania,0.053008955999999996,0.814763695,1987,2010,24,,2,22,0.5793910539618639,0.011738655888231208,0.4186350364945501,0.08379805443680534,-0.631167275,0.00215302,0.465413284,0.033492647,0.7551572409999999,0.455120989,,,0.018828151770735883,0.9106670572366156,,,0.00318327,0.987427405,,
1,Argentina,0.213589268,0.204323968,1979,2015,37,,0,37,0.6124527275990929,0.0006846295113109847,0.4113113257109369,0.03305038201193093,-0.201058643,0.2618778,-0.160623218,0.33537374600000003,0.134435016,0.49521566200000006,-0.143392136,0.458044014,0.2161332637715035,0.19247384746603333,,,,,0.2762022926081603,0.14695915032323695
2,Mexico,0.9730956540000001,6.68e-24,1979,2015,37,,0,37,0.7263730950700372,1.7893737320181292e-05,0.9670262963528762,2.300406331216811e-16,-0.903041379,6.57e-13,0.91165269,1.8e-15,-0.619028546,0.013870641999999999,-0.13662295800000002,0.47975380799999995,0.9762333453295534,1.671749127967167e-25,0.4318701940567113,0.024481252691860897,0.927473705,3.5299999999999997e-12,0.970488320723928,3.2808964904521447e-18
3,Paraguay,0.937348208,9.619999999999999e-16,1979,2014,36,,3,33,0.9283361934164384,3.050779597535915e-12,0.8338219034776824,6.605221006412881e-08,-0.923632775,1.88e-14,0.794251747,2.6600000000000003e-09,-0.317837349,0.17206080899999998,0.911554043,9.57e-11,0.9424069203364736,1.051709057284943e-18,,,-0.319531286,0.104229493,0.8998524395686057,3.9959195399841165e-10
4,Republic of Korea,0.9158183409999999,5.16e-13,1985,2015,31,,0,31,0.9156756928057028,2.1740599570350148e-11,0.8832926682798009,1.0551048992851577e-09,-0.9675031190000001,4.5199999999999996e-20,0.9078031459999999,3.76e-15,0.35575657200000005,0.644243428,-0.7166097790000001,1.23e-05,,,,,,,0.9084047774079188,9.889464989080383e-12
5,Philippines,0.9143421959999999,1.85e-06,1992,2011,20,,5,15,-0.8152719103273144,2.2282629387029638e-07,-0.8394100890842642,4.4473028070504686e-08,-0.9155290140000001,9.22e-10,0.8728337409999999,2.9100000000000005e-09,,,,,0.9892253588299096,1.2155994354958208e-31,,,-0.663173855,0.000163181,,
6,Bahamas,-0.085504598,0.6715296759999999,1980,2013,34,,7,27,0.041762368784881314,0.8361463633093464,-0.14510273210492672,0.4702119219428541,,,-0.127699119,0.444849314,,,-0.033943246,0.8807983,,,,,0.06296679599999999,0.755030768,0.00011925338113950088,0.9995797581331094
7,Bahrain,-0.200836155,0.38269863200000004,1985,2014,30,,9,21,0.7329966716093302,0.001236315707943423,0.6603322305177503,0.0053675567552916685,-0.59025801,0.009914530999999999,-0.469366833,0.036808062,,,-0.162165912,0.494560008,-0.3870776288002343,0.016358229787780284,,,,,-0.5334272006582166,0.015430191622526172
8,Brazil,0.899766172,3.67e-14,1979,2015,37,,0,37,-0.2479831390091003,0.2123324277884475,0.7596515759667802,4.31753082186351e-06,-0.8147510579999999,7.89e-09,0.790013638,3.69e-09,-0.668343221,3.97e-05,-0.974527976,4.61e-19,0.8996634797755846,1.6087283185345228e-14,,,0.475631908,0.012157995,0.9430696277235558,1.9842060324978342e-14
9,Belarus,0.011190463000000001,0.954930533,1981,2014,34,,6,28,0.6582615919053628,0.00018966509838103213,-0.6360121824449764,0.0003629408848020346,0.14722478,0.41358510200000004,-0.7245205779999999,1.93e-05,0.7612262,0.00015338100000000001,,,0.2408365613539476,0.14523769725931526,,,,,,
10,Cyprus,0.8803347990000001,1.49e-05,1999,2016,18,,3,15,-0.3323706084253588,0.2671914624520605,-0.08086868436261974,0.7928389760155813,-0.828230338,0.005821093,0.272940065,0.366926899,0.742778286,0.00564861,,,,,,,,,,
