"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","URBANPOP","METROP","PC","A","2014",52.2,
"GRC","URBANPOP","METROP","PC","A","2014",17.4,
"IRL","URBANPOP","METROP","PC","A","2014",67.8,
"KOR","URBANPOP","METROP","PC","A","2014",16.3,
"BEL","URBANPOP","METROP","PC","A","2014",36.4,
"DNK","URBANPOP","METROP","PC","A","2014",0,
"DEU","URBANPOP","METROP","PC","A","2014",29.1,
"PRT","URBANPOP","METROP","PC","A","2014",22.4,
"SWE","URBANPOP","METROP","PC","A","2014",30.7,
"GBR","URBANPOP","METROP","PC","A","2014",21.2,
"EST","URBANPOP","METROP","PC","A","2014",71.4,
"HUN","URBANPOP","METROP","PC","A","2014",0,
"ITA","URBANPOP","METROP","PC","A","2014",15.9,
"LUX","URBANPOP","METROP","PC","A","2014",0,
"SVN","URBANPOP","METROP","PC","A","2014",70.2,
"AUT","URBANPOP","METROP","PC","A","2014",25.3,
"CZE","URBANPOP","METROP","PC","A","2014",24.6,
"FRA","URBANPOP","METROP","PC","A","2014",24.9,
"NLD","URBANPOP","METROP","PC","A","2014",30.7,
"POL","URBANPOP","METROP","PC","A","2014",27.7,
"ESP","URBANPOP","METROP","PC","A","2014",20.3,
"JPN","URBANPOP","METROP","PC","A","2014",22.2,
"MEX","URBANPOP","METROP","PC","A","2014",31.7,
"NOR","URBANPOP","METROP","PC","A","2014",53.3,
"SVK","URBANPOP","METROP","PC","A","2014",35.5,
"CAN","URBANPOP","METROP","PC","A","2014",24.6,
"CHE","URBANPOP","METROP","PC","A","2014",57.4,
"USA","URBANPOP","METROP","PC","A","2014",0,
"TUR","URBANPOP","METROP","PC","A","2014",17.9,
"CHL","URBANPOP","METROP","PC","A","2014",14.8,
"OECD","URBANPOP","METROP","PC","A","2014",21.9,
"AUS","URBANPOP","METROP","PC","A","2014",10.3,
