,country,cor,p
0,Albania,-0.05802760840664268,0.7483919110459488
1,Antigua and Barbuda,-0.14875189580771134,0.4087037026428286
2,Argentina,-0.2010586431136502,0.2618778003709704
3,Armenia,0.2766406051611629,0.11911582943421459
4,Australia,0.5158990432719822,0.0021189062586771923
5,Austria,-0.9029054358602521,6.70913914792433e-13
6,Azerbaijan,0.22050018193665888,0.21754527385853087
7,Bahrain,-0.1648608230881971,0.3592308426334121
8,Barbados,0.2511106110175963,0.15865703039076057
9,Belarus,0.14722478018587679,0.4135851014429571
10,Belgium,0.6478488499745462,4.582717371017532e-05
11,Belize,-0.6235633941000983,0.00010583004806438678
12,Bolivia,,1.0
13,Bosnia and Herzegovina,0.8468793175859263,5.220425460088359e-10
14,Brazil,-0.8147510578285013,7.891681412150297e-09
15,Bulgaria,-0.7248850093437059,1.8345774086904083e-06
16,Canada,0.9586685873796064,1.768787004730504e-18
17,Chile,-0.8675841103290789,6.384581201010606e-11
18,Colombia,-0.6964662489131755,6.744798788202261e-06
19,Costa Rica,0.2741125984368507,0.12266631992332605
20,Croatia,-0.9073063084469667,3.372977555440451e-13
21,Cuba,0.8727699535581033,3.568429830617919e-11
22,Cyprus,-0.7592098379423835,3.026958450888375e-07
23,Czech Republic,0.6004610984733423,0.00022044257567425062
24,Denmark,0.9405475457892886,4.366505850142592e-16
25,Dominica,,1.0
26,Dominican Republic,,1.0
27,Ecuador,-0.693922525645218,7.524205468253672e-06
28,Egypt,0.4845139443045608,0.004271633338054269
29,El Salvador,0.859943191435812,1.4411942447751763e-10
30,Estonia,0.1812114827796744,0.31286478624647956
31,Fiji,-0.09221009615561525,0.6097911150582872
32,Finland,0.8682374403320884,5.941414946632827e-11
33,France,0.6093984937145234,0.00016708661030150092
34,Georgia,0.47977294821354455,0.004722496643803869
35,Germany,0.9540201624249458,8.935215625583816e-18
36,Greece,-0.1522033039068603,0.3977922747085212
37,Grenada,-0.13025023481235834,0.4700076412890831
38,Guatemala,-0.48276901501883507,0.004433060510475238
39,Guyana,0.8171242113007986,6.576857929774561e-09
40,Haiti,,1.0
41,Honduras,,1.0
42,Hungary,0.3679139180910276,0.03515807302567661
43,Iceland,0.35617338027547274,0.041908040817828
44,Iraq,,1.0
45,Ireland,-0.6744290856793577,1.6793826208821475e-05
46,Israel,0.538637511010377,0.0012212991588663666
47,Italy,0.8028034953926291,1.9023505233392765e-08
48,Jamaica,-0.4871426535167759,0.004038013308322669
49,Japan,-0.3507821194618231,0.04533856824917777
50,Jordan,,1.0
51,Kazakhstan,-0.5417308227975333,0.001129701373911265
52,Kiribati,0.5029877760275229,0.002849916083024412
53,Kuwait,-0.5462034037146855,0.0010079349335879511
54,Kyrgyzstan,0.6554239182983993,3.476780597007902e-05
55,Latvia,-0.21593200520939165,0.22746789499085554
56,Lithuania,0.10857602806908592,0.5475372662072668
57,Luxembourg,0.7360532440083425,1.0520767741100439e-06
58,Malaysia,,1.0
59,Maldives,0.7058852597897565,4.454916596768358e-06
60,Malta,-0.40131494996929784,0.02062665847381624
61,Mauritius,0.15883551957986497,0.3772999962632275
62,Mexico,-0.9030413790226265,6.571363184227546e-13
63,Mongolia,,1.0
64,Montenegro,0.48815097911484323,0.003951371075313224
65,Morocco,,1.0
66,Netherlands,0.6675658326501093,2.1971513615531226e-05
67,New Zealand,-0.04414004556501055,0.8073028997828188
68,Nicaragua,0.9201509971990268,3.659489768978134e-14
69,Norway,0.8522040386732616,3.1356361177273744e-10
70,Oman,0.6991523236274657,6.00197773107468e-06
71,Panama,-0.7099127938178181,3.7126938746092793e-06
72,Paraguay,-0.9236327748616086,1.8791917360156725e-14
73,Peru,,1.0
74,Philippines,-0.8571902327446128,1.9101484082347086e-10
75,Poland,-0.3353324701902139,0.056428435253968304
76,Portugal,0.13892723530944306,0.4406748608769472
77,Qatar,0.1852051668592204,0.30213740196605804
78,Romania,0.06749608392624241,0.7089913167776196
79,Saint Lucia,0.17064467997507934,0.34238161054747607
80,Sao Tome and Principe,-0.8773326055790032,2.093757617825352e-11
81,Saudi Arabia,,1.0
82,Serbia,-0.7604547210009273,2.819890678373572e-07
83,Seychelles,0.955159216506863,6.104962097847483e-18
84,Singapore,0.7110778533722992,3.520039534071012e-06
85,Slovakia,0.7108622589874575,3.554989277008427e-06
86,Slovenia,0.9039954054986817,5.675972935190687e-13
87,South Africa,-0.8645367887338821,8.886060902774453e-11
88,Spain,0.16349792278905795,0.36327205112007543
89,Sri Lanka,0.9291609640114047,6.095976271408865e-15
90,Suriname,-0.616204012633995,0.00013453761132088988
91,Sweden,0.9250573376533153,1.4176665070896891e-14
92,Switzerland,0.6829302380283208,1.192097073011511e-05
93,Tajikistan,,1.0
94,Thailand,0.3812007174831721,0.02861191147154445
95,Trinidad and Tobago,-0.3610742276119881,0.03897371513904507
96,Tunisia,,1.0
97,Turkey,0.2922177356762977,0.09890623355367445
98,Turkmenistan,0.5033981510616327,0.002823689791316228
99,Ukraine,0.42504527029482136,0.01367277000767047
100,United Arab Emirates,0.875046502524154,2.7420172497053638e-11
101,United Kingdom,0.8930239705573699,2.8084749611652157e-12
102,Uruguay,-0.7343265066827963,1.1485780861687237e-06
103,Uzbekistan,0.21404631951602926,0.2316518390617166
104,Zimbabwe,,1.0
