,country,year,sex,suicides_no,population,suirate
0,Antigua and Barbuda,1987,female,0.0,31185.0,0.0
1,Antigua and Barbuda,1987,male,0.0,29076.0,0.0
2,Antigua and Barbuda,1988,female,0.0,30851.0,0.0
3,Antigua and Barbuda,1988,male,0.0,28713.0,0.0
4,Antigua and Barbuda,1989,female,0.0,30692.0,0.0
5,Antigua and Barbuda,1989,male,0.0,28546.0,0.0
6,Antigua and Barbuda,1990,female,0.0,30729.0,0.0
7,Antigua and Barbuda,1990,male,1.0,28605.0,3.4958923265163433
8,Antigua and Barbuda,1991,female,0.0,31236.0,0.0
9,Antigua and Barbuda,1991,male,0.0,29158.0,0.0
10,Antigua and Barbuda,1992,female,0.0,31851.0,0.0
11,Antigua and Barbuda,1992,male,0.0,29890.0,0.0
12,Antigua and Barbuda,1993,female,0.0,32590.0,0.0
13,Antigua and Barbuda,1993,male,1.0,30725.0,3.254678600488202
14,Antigua and Barbuda,1994,female,0.0,33465.0,0.0
15,Antigua and Barbuda,1994,male,0.0,31579.0,0.0
16,Antigua and Barbuda,1995,female,0.0,34464.0,0.0
17,Antigua and Barbuda,1995,male,0.0,32382.0,0.0
18,Antigua and Barbuda,1998,female,0.0,38056.0,0.0
19,Antigua and Barbuda,1998,male,0.0,34169.0,0.0
20,Antigua and Barbuda,1999,female,0.0,39159.0,0.0
21,Antigua and Barbuda,1999,male,0.0,34673.0,0.0
22,Antigua and Barbuda,2000,female,0.0,40089.0,0.0
23,Antigua and Barbuda,2000,male,2.0,35237.0,5.675852087294605
24,Antigua and Barbuda,2001,female,0.0,40681.0,0.0
25,Antigua and Barbuda,2001,male,2.0,35816.0,5.584096493187403
26,Antigua and Barbuda,2002,female,0.0,41116.0,0.0
27,Antigua and Barbuda,2002,male,0.0,36472.0,0.0
28,Antigua and Barbuda,2003,female,0.0,41474.0,0.0
29,Antigua and Barbuda,2003,male,1.0,37184.0,2.689328743545611
30,Antigua and Barbuda,2004,female,0.0,41837.0,0.0
31,Antigua and Barbuda,2004,male,2.0,37885.0,5.279134221987594
32,Antigua and Barbuda,2005,female,0.0,42258.0,0.0
33,Antigua and Barbuda,2005,male,0.0,38551.0,0.0
34,Antigua and Barbuda,2006,female,0.0,42774.0,0.0
35,Antigua and Barbuda,2006,male,0.0,39199.0,0.0
36,Antigua and Barbuda,2007,female,0.0,43358.0,0.0
37,Antigua and Barbuda,2007,male,1.0,39773.0,2.5142684735876095
38,Antigua and Barbuda,2008,female,0.0,43987.0,0.0
39,Antigua and Barbuda,2008,male,0.0,40286.0,0.0
40,Antigua and Barbuda,2009,female,0.0,44623.0,0.0
41,Antigua and Barbuda,2009,male,0.0,40782.0,0.0
42,Antigua and Barbuda,2012,female,0.0,46381.0,0.0
43,Antigua and Barbuda,2012,male,0.0,42322.0,0.0
44,Antigua and Barbuda,2013,female,0.0,46919.0,0.0
45,Antigua and Barbuda,2013,male,0.0,42860.0,0.0
46,Antigua and Barbuda,2014,female,0.0,47455.0,0.0
47,Antigua and Barbuda,2014,male,0.0,43382.0,0.0
48,Antigua and Barbuda,2015,female,1.0,47990.0,2.083767451552407
49,Antigua and Barbuda,2015,male,0.0,43899.0,0.0
50,Argentina,1987,female,686.0,13947900.0,4.918303113730382
51,Argentina,1987,male,1600.0,13651500.0,11.720323773944255
52,Argentina,1988,female,665.0,14324000.0,4.642557944708182
53,Argentina,1988,male,1689.0,13984000.0,12.078089244851258
54,Argentina,1989,female,606.0,14529000.0,4.170968408011563
55,Argentina,1989,male,1641.0,14173000.0,11.578353206801665
56,Argentina,1990,female,595.0,14732000.0,4.038827043171327
57,Argentina,1990,male,1545.0,14359100.0,10.759727280957721
58,Argentina,1991,female,499.0,15133000.0,3.297429458798652
59,Argentina,1991,male,1452.0,14490000.0,10.020703933747413
60,Argentina,1992,female,504.0,15361300.0,3.2809723135411715
61,Argentina,1992,male,1680.0,14684100.0,11.440946329703557
62,Argentina,1993,female,493.0,15584000.0,3.1635010266940453
63,Argentina,1993,male,1737.0,14893500.0,11.66280592204653
64,Argentina,1994,female,510.0,15806800.0,3.226459498443708
65,Argentina,1994,male,1731.0,15104400.0,11.460236752204656
66,Argentina,1995,female,504.0,16029500.0,3.144202875947472
67,Argentina,1995,male,1700.0,15315900.0,11.099576257353469
68,Argentina,1996,female,532.0,16252800.0,3.2732821421539673
69,Argentina,1996,male,1697.0,15527900.0,10.928715409037926
70,Argentina,1997,female,539.0,16568735.0,3.253114978300999
71,Argentina,1997,male,1645.0,15765046.0,10.434476372603037
72,Argentina,1998,female,526.0,16789196.0,3.1329671772251633
73,Argentina,1998,male,1821.0,15968063.0,11.404013122944217
74,Argentina,1999,female,493.0,17006298.0,2.8989260331672417
75,Argentina,1999,male,1930.0,16168564.0,11.936743423843948
76,Argentina,2000,female,550.0,17219345.0,3.194082004861393
77,Argentina,2000,male,2224.0,16366188.0,13.588992134270974
78,Argentina,2001,female,676.0,17438298.0,3.8765251058331494
79,Argentina,2001,male,2456.0,16572648.0,14.819599137084188
80,Argentina,2002,female,703.0,17642501.0,3.9846958206208973
81,Argentina,2002,male,2459.0,16765006.0,14.667456725037855
82,Argentina,2003,female,684.0,17837389.0,3.834641942270811
83,Argentina,2003,male,2605.0,16948518.0,15.370075424883757
84,Argentina,2004,female,654.0,18031399.0,3.627006423628028
85,Argentina,2004,male,2467.0,17131546.0,14.40033491431538
86,Argentina,2005,female,664.0,18230599.0,3.6422281023240104
87,Argentina,2005,male,2394.0,17320018.0,13.822156535865032
