,country,year,suicides_no,population,suirate,sexratio,ssdiff
0,Antigua and Barbuda,1987,0.0,60261.0,0.0,93.23713323713324,0.0
1,Antigua and Barbuda,1988,0.0,59564.0,0.0,93.06991669637937,0.0
2,Antigua and Barbuda,1989,0.0,59238.0,0.0,93.00794995438551,0.0
3,Antigua and Barbuda,1990,1.0,59334.0,1.6853743216368355,93.0879625109831,3.4958923265163433
4,Antigua and Barbuda,1991,0.0,60394.0,0.0,93.34741964400051,0.0
5,Antigua and Barbuda,1992,0.0,61741.0,0.0,93.84320743461744,0.0
6,Antigua and Barbuda,1993,1.0,63315.0,1.5794045644791914,94.27738570113532,3.254678600488202
7,Antigua and Barbuda,1994,0.0,65044.0,0.0,94.36426116838489,0.0
8,Antigua and Barbuda,1995,0.0,66846.0,0.0,93.95891364902506,0.0
9,Antigua and Barbuda,1998,0.0,72225.0,0.0,89.78610468782847,0.0
10,Antigua and Barbuda,1999,0.0,73832.0,0.0,88.5441405551725,0.0
11,Antigua and Barbuda,2000,2.0,75326.0,2.6551257202028515,87.89692933223577,5.675852087294605
12,Antigua and Barbuda,2001,2.0,76497.0,2.614481613658052,88.04110026793835,5.584096493187403
13,Antigua and Barbuda,2002,0.0,77588.0,0.0,88.70512695787528,0.0
14,Antigua and Barbuda,2003,1.0,78658.0,1.2713265020722622,89.65617013068429,2.689328743545611
15,Antigua and Barbuda,2004,2.0,79722.0,2.508717794335315,90.55381600019122,5.279134221987594
16,Antigua and Barbuda,2005,0.0,80809.0,0.0,91.2276965308344,0.0
17,Antigua and Barbuda,2006,0.0,81973.0,0.0,91.64211904427924,0.0
18,Antigua and Barbuda,2007,1.0,83131.0,1.2029206914388135,91.73162968771622,2.5142684735876095
19,Antigua and Barbuda,2008,0.0,84273.0,0.0,91.5861504535431,0.0
20,Antigua and Barbuda,2009,0.0,85405.0,0.0,91.39233130896623,0.0
21,Antigua and Barbuda,2012,0.0,88703.0,0.0,91.24857161337617,0.0
22,Antigua and Barbuda,2013,0.0,89779.0,0.0,91.34892047997613,0.0
23,Antigua and Barbuda,2014,0.0,90837.0,0.0,91.41713201980824,0.0
24,Antigua and Barbuda,2015,1.0,91889.0,1.0882695426003113,91.4753073556991,-2.083767451552407
25,Argentina,1987,2286.0,27599400.0,8.282788756277311,97.87494891704128,6.802020660213873
26,Argentina,1988,2354.0,28308000.0,8.315670481842588,97.62636135157777,7.435531300143076
27,Argentina,1989,2247.0,28702000.0,7.828722737091492,97.549728129947,7.407384798790102
28,Argentina,1990,2140.0,29091100.0,7.35620172492618,97.4687754547923,6.720900237786394
29,Argentina,1991,1951.0,29623000.0,6.586098639570604,95.75100773144783,6.723274474948761
30,Argentina,1992,2184.0,30045400.0,7.26899958063464,95.59151894696413,8.159974016162385
31,Argentina,1993,2230.0,30477500.0,7.3168731031088505,95.56917351129364,8.499304895352484
32,Argentina,1994,2241.0,30911200.0,7.249799425450969,95.55634283979047,8.233777253760948
33,Argentina,1995,2204.0,31345400.0,7.031334741301754,95.54820799151564,7.955373381405997
34,Argentina,1996,2229.0,31780700.0,7.013690699072078,95.53984544201614,7.655433266883959
35,Argentina,1997,2184.0,32333781.0,6.754545656135916,95.14936414880195,7.181361394302037
36,Argentina,1998,2347.0,32757259.0,7.164824138674118,95.10915829441744,8.271045945719054
37,Argentina,1999,2423.0,33174862.0,7.303722921289017,95.07397788748615,9.037817390676707
38,Argentina,2000,2774.0,33585533.0,8.259508640223158,95.04535741632449,10.394910129409581
39,Argentina,2001,3132.0,34010946.0,9.208800013971972,95.03592609783362,10.943074031251038
40,Argentina,2002,3162.0,34407507.0,9.18985499298162,95.02624372814263,10.682760904416957
41,Argentina,2003,3289.0,34785907.0,9.454978419852614,95.01680991539737,11.535433482612945
