country,cor,p
Albania,0.01882815177073588,0.9106670572366156
Argentina,0.2161332637715035,0.19247384746603333
Armenia,0.48865580127031405,0.0018529028189127942
Aruba,0.3967189742388109,0.013663834500494779
Australia,-0.47228795105655047,0.0027546089360405983
Austria,-0.9682604997803339,2.859634365293581e-23
Azerbaijan,-0.9328519115849081,1.5397552689522284e-17
Bahrain,-0.38707762880023433,0.016358229787780284
Barbados,-0.5189922348803693,0.0008421397248735688
Belarus,0.24083656135394757,0.14523769725931526
Belgium,,1.0
Belize,0.6672322296008324,4.760917063172997e-06
Brazil,0.8996634797755846,1.6087283185345228e-14
Brunei Darussalam,-0.7890073477795143,3.98874066696285e-09
Bulgaria,0.8422558558905614,3.390144046994841e-11
Canada,-0.9587807423570546,2.9214832782231805e-21
Chile,0.8579169227866162,5.9095166641364635e-12
Colombia,0.6735289349499101,3.5822777939076896e-06
Costa Rica,0.4472397105381854,0.004874311523756964
Croatia,0.7935276244122349,2.8117689009385156e-09
Cuba,-0.967580705225233,4.1644798495243433e-23
Czech Republic,-0.3336595468229904,0.04063950282771269
Denmark,-0.9293836898917134,3.70354793436874e-17
Ecuador,0.6119412769687955,4.457383706002921e-05
El Salvador,-0.9119093728088631,1.7126999946372457e-15
Estonia,0.6324096365441999,2.048669919887079e-05
Finland,-0.982109628730375,1.0559431014181956e-27
France,-0.9264897121813072,7.449595973607002e-17
Georgia,0.38257072175485357,0.017763363120125015
Germany,-0.8094376962732774,7.642072331542066e-10
Greece,-0.20288870056167116,0.22183428298959798
Grenada,-0.46423618540842365,0.0033246361072207633
Guatemala,0.6330516134320149,1.9975145651075593e-05
Guyana,-0.5095088682091892,0.0010860325243317662
Hungary,0.9766311921640625,1.2376859894097417e-25
Iceland,-0.28726039540621884,0.0803417390768348
Ireland,0.5244582551125243,0.0007248508259990889
Israel,-0.6776825498913637,2.9582958862543697e-06
Italy,-0.7699381287985179,1.5967086953087783e-08
Jamaica,0.5439310154956096,0.0004159778603212403
Japan,0.1813635312250043,0.2758359702379123
Kazakhstan,-0.6692028163543127,4.358586949770104e-06
Kuwait,,1.0
Latvia,0.6787791758295657,2.811097252760759e-06
Lithuania,0.4404242028227533,0.005652533132487463
Luxembourg,,1.0
Maldives,-0.9076734355049094,3.8493254516629375e-15
Malta,0.8352046623482128,7.006184652508825e-11
Mauritius,-0.06891800743843522,0.680972232200306
Mexico,0.9762333453295534,1.671749127967167e-25
Netherlands,-0.6888766480545812,1.738995066118777e-06
New Zealand,0.022668914600816586,0.8925409218132213
Norway,-0.8733341091857312,8.532020385014201e-13
Panama,0.517882095091301,0.0008679213910443033
Paraguay,0.9424069203364737,1.0517090572849433e-18
Philippines,0.9892253588299095,1.2155994354958208e-31
Poland,0.2686940019064206,0.10285546214607123
Portugal,-0.19173995313542266,0.24882026024743373
Puerto Rico,-0.5763001532510882,0.0001527702546885332
Romania,0.5541496948712055,0.00030656851734514877
Russian Federation,0.19305356478761232,0.24553126464681108
Serbia,,1.0
Singapore,-0.8175390855645892,3.7542539303656706e-10
Slovenia,-0.9078716287119091,3.7094434352544644e-15
Spain,-0.05020553672625475,0.7646821281451652
Sri Lanka,-0.9282496675723992,4.8872049042455476e-17
Suriname,0.1611293815332381,0.333832863050905
Sweden,-0.8747592060684419,7.045076586897065e-13
Switzerland,-0.9855921167846134,2.2057892689623e-29
Thailand,-0.481091949447928,0.0022308913716493554
Trinidad and Tobago,0.5819350836320791,0.00012693645802815332
Turkmenistan,-0.7903909380374634,3.587130895405777e-09
Ukraine,0.5041094152006134,0.001251195916899569
United Kingdom,-0.7385379696059593,1.202251222062684e-07
Uruguay,0.9015764446953336,1.1561302453506375e-14
Uzbekistan,-0.8733120042735333,8.557245839582082e-13
