country,cor,p
Australia,-0.6282085337077356,0.00045039592251178585
Austria,-0.9793139101094528,7.234952236070049e-19
Belgium,-0.4704123558610749,0.013278191567395545
Canada,-0.9253000054804775,5.039861638697712e-12
Chile,0.571624553061286,0.0067865637616348305
Czech Republic,-0.8328726574167223,1.5096115000733902e-06
Denmark,-0.9514598141072631,2.6566391340737276e-14
Estonia,-0.9445640626878834,3.9314016895462895e-11
Finland,-0.9522062139215245,2.1977098379637824e-14
France,-0.9548895071001773,1.0830024207480697e-14
Greece,-0.4703323247301183,0.027177001536753755
Hungary,-0.8274470866341256,2.0287707447933697e-06
Iceland,-0.12399861499833288,0.5377538600206986
Ireland,0.04859704019193948,0.8097792683650638
Italy,-0.8604900957459779,8.635912627492169e-09
Japan,0.40702637585357515,0.03510839168056036
Latvia,-0.8844618712325524,1.0345443781138086e-07
Lithuania,-0.9614037183373363,1.1287921271014201e-12
Luxembourg,-0.7904670143341375,9.316917045115961e-07
Mexico,0.4318701940567113,0.024481252691860897
Netherlands,-0.0796600007745838,0.6928666616689367
New Zealand,-0.6130637320716678,0.0006738783002337607
Norway,-0.8104983388017499,2.9816712552315415e-07
Poland,-0.056033150236836,0.8043884209199818
Portugal,0.24107347402338106,0.27979865107362784
Slovenia,-0.9595113068327099,1.8074965620734048e-12
Spain,-0.5129935713512002,0.00621310192560853
Sweden,-0.8661676958518807,5.305312395358047e-09
Switzerland,-0.9739643366286369,1.2461407889074513e-17
United Kingdom,-0.7971041032448435,6.477053628638187e-07
