Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018/11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.079999924,,,6.449999809,,,7.449999809,,,6.920000076,6.900000095,,,,,,5.710000038,,,10.60000038,8.899999619,,,,,,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.494499922,,,,1.691900015,,,,,
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,14.19999981,14.89999962,18.89999962,,,,,,,,,,,,,,,,,,23.6427002,,,,,,,7.362199783,,,,,,
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,5.599999905,5.099999905,3.599999905,4.400000095,5.699999809,6.699999809,6.400000095,6.099999905,7,7.300000191,9.5,9.100000381,26.5,22.29999924,18.39999962,12.89999962,12.30000019,14.89999962,17.70000076,18.39999962,16.79999924,16.39999962,15.80000019,15,14.39999962,14.10000038,13.80000019,15.96630001,13.05990028,13.67389965,14.08600044,13.48089981,13.37590027,15.86590004,17.4878006,17.07999992,15.22179985,13.74530029
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.33791211,,,,,,10.49065917,9.702116461,9.624243481,9.255264595,,,10.74253217,,,,,
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,1.960000038,,,,,,,,,,1.149999976,,,,,,,,,,1.799999952,,,,,2.25,,,,,3.119999886,,,4.010000229,4.166252136,,,,,,,1.635501981,2.463000059
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,4.800000191,6,6.599999905,5.599999905,3.400000095,2.299999952,4.5,2.799999952,2.799999952,2,2.299999952,4.5,4.730000019,4.170000076,3.539999962,5.300000191,4.400000095,5.300000191,6,7.300000191,7.059999943,,6.360000134,10.10000038,11.76000023,18.79999924,17.11000061,14.81999969,12.64999962,14.05000019,15,17.31999969,19.59000015,15.35999966,13.52210045,11.50590038,10.07750034,8.470000267,7.83739996,8.645299911,,,,,,,,8.347399712
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.799999952,5.300000191,6.599999905,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,,,,,,,,,,18.73999977,19.00799942,,17.3090992,16.17889977,,,,17.82710075
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,12.98999977,17.23999977,19.07999992,14.86999989,13.78999996,14.35000038,12.40999985,12.60999966,12.77999973,12.96000004,13.10999966,13.28999996,13.38000011,,,,5.110000134,,,,,,,,,,5.050000191,,,,,9.979999542,,,,,9.199999809,,,,,,,
